"pond","treatment","av_C_ug","log_av_C_ug"
"1","W",9.80249162129032e-05,-4.00866352024213
"10","A",4.35274195103567e-05,-4.36123707889433
"15","W",8.05341823559741e-05,-4.09401974624527
"16","A",9.86797352057606e-05,-4.00577202455352
"17","W",0.000136504640169713,-3.86485258550345
"18","A",0.000176398865974021,-3.75350421117023
"19","W",0.000102028662517598,-3.99127780642842
"2","A",4.16512497782991e-05,-4.38037196271636
"3","A",3.48592526946291e-05,-4.45768192744053
"4","W",0.000109862734686771,-3.95914959478678
"5","A",4.91604842781772e-05,-4.30838384754506
"6","W",8.44007549782229e-05,-4.07365366852352
"7","A",1.80389353166887e-05,-4.74378909870827
"8","W",0.000168093108751647,-3.77445009079896
"9","W",8.81425214971894e-05,-4.05481452976606
